item_name,unit_price
Janaushadhi Suvidha (Oxo-Biodegradable Sanitary Napkins Large Size with wings),12.0
Janaushadhi Suvidha (Oxo-Biodegradable Sanitary Napkins Regular Size With Wings),5.0
Janaushadhi Swabhiman (Adult Diaper (Large)),131.25
Janaushadhi Swabhiman (Adult Diaper (Medium)),121.88
Janaushadhi Swabhiman (Adult Diaper (XL)),150.0
Janaushadhi Swabhiman (Adult Diaper; Pant Style Large; Waist Size: 38 inch - 54 inch),379.69
Janaushadhi Swabhiman (Adult Diaper; Pant Style Medium; Waist Size: 28 inch - 45 inch),346.88
Karman cannula 4 mm,37.5
Knee Brace Belt (Large),525.0
Knee Brace Belt (Medium),525.0
Knee Cap (Large),120.0
Knee Cap (Medium),120.0
Knee Cap (Small),120.0
Knee Cap with Patellar Ring (Medium),200.0
Knee Cap with Patellar Ring (Small),200.0
Knee Cap with patellar ring (Large),200.0
"Lancets, Round Sterile, 28G",37.5
Lumbar Spinal Brace (Grey),770.0
Lumbo-Sacral Support Belt (Waist and Back Support) (Double Extra Large),390.0
Lumbo-Sacral Support Belt (Waist and Back Support) (Extra Large),385.0
Lumbo-Sacral Support Belt (Waist and Back Support) (Large),380.0
Lumbo-Sacral Support Belt (Waist and Back Support) (Medium),375.0
Lumbo-Sacral Support Belt (Waist and Back Support) (Small),370.0
Magnetic Posture Corrector Back Support Belt - Posture Fit,580.0
Manual breast pump,600.0
Maternity Sanitary Pads,68.25
Medical Digital Thermometer,88.98
Medical Steam Vaporizer,234.38
N-95 Mask with Expiratory Valve,30.0
N-95 Mask without Expiratory Valve,25.0
"Nasal Oxygen Cannula set, Twin bore (Adult)",28.13
Nebulizer Mask with Tubing,56.25
Needle 16G,1.88
Needle 18G,1.41
Needle 23G,0.94
Needle 26G half inch,1.41
Paper Adhesive Plaster 1 inch X 9m,23.44
Paper Adhesive Plaster 2 inch X 9m,51.56
Paper Adhesive Plaster 3 inch X 9m,75.0
Plaster of Paris BP Bandages 10cm X 2.7m / Roll,56.25
Plaster of Paris BP Bandages 15cm X 2.7m / Roll,79.69
Plastic Bedpan,65.63
