procedure,specialty
Colostomy/Ileostomy Closure,Cancer Surgery
"Colour Doppler, renal arteries/any other organ",Radiological Investigation
ColposcoPy.,Cancer Surgery
Colposcopy,Obstetrics And Gynaecology Procedure
Colpotomy/Post-Coital Tear Repair,Obstetrics And Gynaecology Procedure
Combine Craniofacial Resection,Cancer Surgery
Combined High Sensitivity JAK2 V617F and Exon12 Mutation Detection,Oncology Investigations
Combined Trans-Oral Surgery & Craniovertebral (CV) Junction Fusion,Neuro-Surgery Procedure
Combo Device Implantation excluding the cost of Device,Cardiology Procedure
Common Bile Duct (CBD) stone extraction by ERCP,Gastroenterology / Endoscopic Procedures
Common Bile Duct (CBD) stricture dilatation by ERCP,Gastroenterology / Endoscopic Procedures
Common Bile Duet Excision,Cancer Surgery
Complete Denture - Per Arch,Dental Procedure
"Complete Haemogram/CBC, Hb,RBC Count and Indices,TLC, DLC, Platelet, ESR, Peripheral Smear Examination)",Laboratory Investigation
Complete Perineal Tear-Repair,Obstetrics And Gynaecology Procedure
Complicated Extraction per tooth under LA,Dental Procedure
Composite - Occlusal Pit/Class I,Dental Procedure
Composite -Class I with buccal extension/Class II Class III/Class IV/Class VI/Diastema Closure/MOD,Dental Procedure
Composite resection Tonsil.,Cancer Surgery
Comprehensive Allergy Panel,Laboratory Investigation
Comprehensive Molecular Testing,Oncology Investigations
Comprehensive Myeloma Protein Panel,Laboratory Investigation
Comprehensive Next Generation sequencing assay for Hematolymphoid malignancies,Oncology Investigations
Compressed Air / Piped Oxygen per hour,Critical Care
Concretions removal- Both Eyes,Ophthalmology Procedure
Concurrent-chemoradiation,Chemotherapy
Conduit Repair,Cardiovascular And Cardiac Surgery Procedure
Congenital Atresia & Stenosis of Small Intestine,Paediatric Surgery Procedure
Congenital Diaphragmatic Hernia,Abdomen/GI Surgery Procedure
Congenital Hydrocele,Paediatric Surgery Procedure
Congenital Pyloric Stenosis- operation,Paediatric Surgery Procedure
Conisation,Cancer Surgery
Conisation of cervix/Chemical Cautery of Cervical Ectopy/Erosion,Obstetrics And Gynaecology Procedure
Conjugal microscopy,Gastroenterology / Endoscopic Procedures
Conjunctival Peritomy per eye,Ophthalmology Procedure
Conjunctival wound repair or exploration following blunt trauma per eye,Ophthalmology Procedure
Conservative Plaster of Paris (POP),Orthopaedics Procedure
Constitutional karyotyping,Oncology Investigations
Consultation OPD,Consultation
Consultation OPD- Super speciality/Psychiatry,Consultation
Consultation for Inpatients,Consultation
Continent Urinary Diversion,Cancer Surgery
Continuous Ambulatory Peritoneal Dialysis (CAPD) catheter insertion- Open method,Nephrology And Urology Procedure
Continuous Ambulatory Peritoneal Dialysis (CAPD) catheter insertion- Schlendinger/ Seldinger method,Nephrology And Urology Procedure
Continuous Glucose Monitoring for 2 Weeks,Laboratory Investigation
Continuous Veno venous/Arteriovenous Haemofiltration /Haemofiltration/CRRT per day,Nephrology And Urology Procedure
Contrast Enhanced Computed Tomograpy (CECT) Chest (Including CD),Radiological Investigation
Contrast Hystero-Salpingography (HSG),Radiological Investigation
Coomb-s Test - Direct,Laboratory Investigation
Coomb-s Test - Indirect,Laboratory Investigation
Core build-up/ Post and Core - Custom made /Inlay/onlay,Dental Procedure
Corneal endothelial cell count with specular microscopy- Both Eyes,Ophthalmology Investigation
Corneal grafting-Penetrating keratoplasty per eye,Ophthalmology Procedure
Corneal pachymetry (corneal thickness)/ CCT - Both Eyes,Ophthalmology Investigation
Corneal topography /pentacam- Both Eyes,Ophthalmology Investigation
Coronary Angiography,Cardiology Investigation
Coronary Artery Bypass Graft surgery (CABG),Cardiovascular And Cardiac Surgery Procedure
Coronary Artery Bypass Graft surgery (CABG) + Intra-Aortic Balloon Pump (IABP),Cardiovascular And Cardiac Surgery Procedure
Coronary Artery Bypass Graft surgery (CABG) + Valve Replacement excluding the cost of the valve,Cardiovascular And Cardiac Surgery Procedure
Corpus callostomy for Epilepsy,Neuro-Surgery Procedure
Corrective Osteotomy & Internal Fixation- long bones,Orthopaedics Procedure
Corrective Osteotomy & Internal Fixation- short bones,Orthopaedics Procedure
Cortisol,Laboratory Investigation
Cost of Fractional flow reserve (FFR) Catheter excluding GST (Procedure Charge included in PTCA),Cardiology Add on Procedure
Cost of Intravascular ultrasound (IVUS) Catheter excluding GST(Procedure Charge included in PTCA),Cardiology Add on Procedure
Cost of the Glaucoma valve/Glaucoma Ahmed valve per eye,Ophthalmology Procedure
Covid Antibody Test,Laboratory Investigation
Cranio-Facial resection,ENT Procedure
Cranioplasty,Neuro-Surgery Procedure
Craniotomy and Evacuation of Haematoma - Extradural,Neuro-Surgery Procedure
Craniotomy and Evacuation of Haematoma -Subdural,Neuro-Surgery Procedure
Craniotomy for posterior fossa tumors with navigation,Cancer Surgery
Craniotomy for supratentorial tumors - without navigation,Cancer Surgery
Craniovertebral Junction (CVJ) Fusion procedures,Neuro-Surgery Procedure
Creatine Phosphokinase (CPK)/Creatine Kinase (CK),Laboratory Investigation
Creatinine Clearance,Laboratory Investigation
Cross Match,Laboratory Investigation
Crown - All Metal-Nickel Free,Dental Procedure
Crown - Metal with Ceramic Facing,Dental Procedure
Crown - PMMA Crown,Dental Procedure
Crown - Recementation,Dental Procedure
Crown - Removal,Dental Procedure
Crown lengthening - Per Tooth,Dental Procedure
Cryoglobulins,Laboratory Investigation
Cryptococcal antigen,Laboratory Investigation
Curettage Cement / Bone Graft,Cancer Surgery
Curettage and Root Planning - Per Arch,Dental Procedure
Curettage and Root Planning - Per Tooth,Dental Procedure
Custom Sequencing Assay,Oncology Investigations
Cyclocryotherapy /Trans scleral cyclophotocoagulation TSCPC per eye,Ophthalmology Procedure
Cyclosporine,Laboratory Investigation
Cyst of Maxilla/mandible by enucleation/excision/marsupialization more than 4 cms under GA and admission,Dental Procedure
Cyst of Maxilla/mandible by enucleation/excision/marsupialization more than 4 cms under LA,Dental Procedure
Cyst of Maxilla/mandible by enucleation/excision/marsupialization upto 4 cms under LA,Dental Procedure
Cystectomy Partial,Cancer Surgery
Cystectomy Radical,Cancer Surgery
Cysto-Gastrostomy,Cancer Surgery
Cysto-Litholapaxy,Nephrology And Urology Procedure
Cystojejunostomy or Cystogastrostomy,Abdomen/GI Surgery Procedure
Cystolithotomy -Suprapubic,Nephrology And Urology Procedure
Cystoscopic Botulinum Toxin Injection ( Over active bladder/ Neurogenic bladder) -excluding cost of drug,Nephrology And Urology Procedure
Cystoscopy,Cancer Surgery
Cystoscopy + DJ Stenting,Cancer Surgery
Cystoscopy with Retrograde Catheter - Bilateral/RGP,Nephrology And Urology Procedure
Cystoscopy with Retrograde Catheter -Unilateral/RGP,Nephrology And Urology Procedure
Cystostomy Suprapubic,Cancer Surgery
Cytogenetics,Laboratory Investigation
Cytoreductive Surgery,Cancer Surgery
D Xylose test,Laboratory Investigation
D-Dimer,Laboratory Investigation
DALK- Deep anterior lamellar keratoplasty per eye,Ophthalmology Procedure
DCP (DES Gamma-Carboxy- Prothrombin),Laboratory Investigation
DICER1 Mutation,Oncology Investigations
DJ stent removal,Nephrology And Urology Procedure
DSAEK Descemet-s stripping automated endothelial keratoplasty/DMEK-Descemet membrane endothelial keratoplasty per eye,Ophthalmology Procedure
Dacryocystectomy per eye,Ophthalmology Procedure
Dacryocystography - Bilateral,Ophthalmology Investigation
Dacryocystorhinostomy-Plain,Ophthalmology Procedure
Dacryocystorhinostomy-Plain with intubation and/or with lacrimal implants excluding the cost of implant per eye,Ophthalmology Procedure
Dacryocystorhinostomy-conjunctival with implant excluding the cost of implant per eye,Ophthalmology Procedure
Day Care Charges (Accomidation only ),Ward charges
Debridement of Large wounds including Diabetic Wound under Anaesthesia,General Surgery
Debridement of wounds - Small,General Surgery
Decompressive craniotomy for hemispherical acute subdural haematoma/ brain swelling/large infarct,Neuro-Surgery Procedure
Dehydroepiandrosterone sulfate (DHEAS),Laboratory Investigation
Dengue IgM and Ig G,Laboratory Investigation
Dengue NS1 Ag,Laboratory Investigation
Depressed Fracture Elevation,Neuro-Surgery Procedure
Dermabrasion Face,Burns And Plastic Surgery Procedure
Desmoglein (DSG) 1 And 3 Antibody,Laboratory Investigation
"Dexa Scan Bone Densitometry - Three sites (Spine, Hip &extremity)",Radiological Investigation
Dexa Scan Bone Densitometry - Two sites,Radiological Investigation
Dexa Scan Bone Densitometry Whole body,Radiological Investigation
Diagnostic Angiography,Gastroenterology/Interventional Radiology Investigation
Diagnostic Cystoscopy,Nephrology And Urology Procedure
Diagnostic Digital Subtraction Angiography (DSA) cerebral vessels,Radiological Investigation
Diagnostic Electrophysiological studies conventional (Including catheter),Cardiology Investigation
Diagnostic Hysteroscopy,Cancer Surgery
Diagnostic Hysteroscopy with or without endometrial Biopsy,Obstetrics And Gynaecology Procedure
Diagnostic Peritonioscopy/Laparoscopy,Abdomen/GI Surgery Procedure
Diagnostic endoscopy under GA,ENT Procedure
Diagnostic hysterolaparoscopy(DHL) with or without chromopertubation/Adhesiolysis/ovarian drilling,Obstetrics And Gynaecology Procedure
Diagnostic hysteroscopy with or without polypectomy/endometrial curettage,Obstetrics And Gynaecology Procedure
Diaphragmatic Hernia Repair (Thoracic or Abdominal Approach),Paediatric Surgery Procedure
Differential Leucocytic Count (DLC),Laboratory Investigation
Digital OPG with X ray film/ CD,Dental Investigation
Digital Subtraction Angiography- venogram,Cardiology Investigation
Digital Subtraction Angiography-Peripheral artery,Cardiology Investigation
Dilantin (Phenytoin),Laboratory Investigation
Dilatation & Curettage,Cancer Surgery
Dilatation and Curettage(diagnostic/therapeutic) with or without Polypectomy,Obstetrics And Gynaecology Procedure
Dilatation of Stricture Urethra under G.A.,Nephrology And Urology Procedure
Direct Immunofluorescence (Skin and Kidney Disease etc),Laboratory Investigation
Direct Laryngoscopy including Biopsy under GA,ENT Procedure
Direct Operation on Oesophagus for Portal Hypertension,Abdomen/GI Surgery Procedure
Disarticulations - Major joint,Orthopaedics Procedure
Disarticulations - Minor joint,Orthopaedics Procedure
Discectomy/ Micro Discectomy,Orthopaedics Procedure
Distal biceps tendon repair,Orthopaedics Procedure
Distraction osteogenesis of mandible or maxilla under GA,Dental Procedure
Diurnal variation of IOP - Both Eyes,Ophthalmology Investigation
Diverticulectomy -Endoscopic incision of neck,Nephrology And Urology Procedure
Diverticulectomy -open,Nephrology And Urology Procedure
Diverticulectomy- Lap/Endoscopic,Nephrology And Urology Procedure
Donor Nephrectomy (Laparoscopic),Nephrology And Urology Procedure
Donor Nephrectomy (Open),Nephrology And Urology Procedure
Donor Specific Antibodies (DSA),Oncology Investigations
Dorsal column stimulation for backache in failed back syndrome,Neuro-Surgery Procedure
Double Hip spica,Orthopaedics Procedure
Double Lumen Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure
"Double Marker (Beta-hCG,PAPP-A)",Laboratory Investigation
Double Switch Operation (DSO),Cardiovascular And Cardiac Surgery Procedure
Double Valve Replacement (DVR),Cardiovascular And Cardiac Surgery Procedure
Double balloon enteroscopy,Gastroenterology / Endoscopic Procedures
Drainage of abscess with anaesthesia,General Procedure
Dressings of wounds,General Procedure
Duodenal Atresia Operation,Paediatric Surgery Procedure
Duodenal Diverticulum,Abdomen/GI Surgery Procedure
Duodenal stricture dilation,Gastroenterology / Endoscopic Procedures
Duodenojejunostomy,Abdomen/GI Surgery Procedure
Duodenotomy,Cancer Surgery
Dynamic Hip Screw (DHS) for Fracture Neck Femur,Orthopaedics Procedure
Dynamic Renography with Captopril,Nuclear Medicine Investigation
Dynamic Renography with Diuretic.,Nuclear Medicine Investigation
Dynamic Renography.,Nuclear Medicine Investigation
EDTA for band shaped keratopathy - Both Eyes,Ophthalmology Procedure
EGFR Mutation DETECTION,Oncology Investigations
EGFR Resistance Mutation (T790m Mutation Analysis),Oncology Investigations
EOG- Electrooculogram - Both Eyes,Ophthalmology Investigation
ER PR Her2 Neu,Oncology Investigations
"ER/PR/Her2neu, Ki67",Oncology Investigations
ERCP (Endoscopic Retrograde Cholangio -Pancreatography) Diagnostic,Gastro and Hepatobiliary Investigation
ERG- Electroretinogram- Both Eyes,Ophthalmology Investigation
EUS (Endoscopic Ultrasound) guided FNAC Excluding the cost of the Needle,Gastroenterology / Endoscopic Procedures
Ear Lobe Repair one side,ENT Procedure
Ectropion surgery- both lids,Ophthalmology Procedure
Ectropion surgery- one lid,Ophthalmology Procedure
Elbow Rplacement,Cancer Surgery
Electrical Muscle Stimulation/Cryotherapy/TENS (per session),Physiotherapy
Electrocardiogram (ECG),Cardiology Investigation
Electroencephalogram (EEG)/ Video EEG,Neurology Investigation
Electrolysis (eye) - Both Eyes,Ophthalmology Procedure
Electromyography (EMG),Neurology Investigation
Electronystagmography (ENG),ENT Investigation
Embolectomy,Cardiovascular And Cardiac Surgery Procedure
En Bloc Excision + Reconstruction,Cancer Surgery
En Bloc Upper Humerus Excision,Cancer Surgery
Endarterectomy (Carotid),Neuro-Surgery Procedure
Endo bronchial Ultrasound (EBUS) -Trans bronchial needle aspiration (TBNA) -Excluding the cost of Needle,Pulmonology Procedure
Endocyclophotocoagulation per eye,Ophthalmology Procedure
Endolymphatic sac decompression,ENT Procedure
Endometrial aspiration cytology/biopsy (including Pipelle Charges),Obstetrics And Gynaecology Procedure
Endoscopic 3rd ventriculostomy,Neuro-Surgery Procedure
Endoscopic Bulking agent Inject (including cost of bulking agent),Nephrology And Urology Procedure
Endoscopic CSF rhinorrhoea repair,Neuro-Surgery Procedure
Endoscopic Dacryocystorhinostomy (DCR),ENT Procedure
Endoscopic Hypophysectomy,ENT Procedure
Endoscopic Laser excision for Hypopharynx,Cancer Surgery
Endoscopic Optic Nerve Decompression,ENT Procedure
Endoscopic Polypectomy - GIT,Gastroenterology / Endoscopic Procedures
Endoscopic Removal of Stone in Bladder,Nephrology And Urology Procedure
Endoscopic Surgery (ENT),ENT Procedure
Endoscopic Sympathectomy,Neuro-Surgery Procedure
Endoscopic aqueductoplasty,Neuro-Surgery Procedure
Endoscopic aspiration of intracerebellar haematoma,Neuro-Surgery Procedure
Endoscopic cranial surgery/Biopsy/aspiration,Neuro-Surgery Procedure
Endoscopic cysto gastrostomy,Gastroenterology / Endoscopic Procedures
"Endoscopic discectomy (Lumbar, Cervical)",Neuro-Surgery Procedure
Endoscopic mucosal resection,Gastroenterology / Endoscopic Procedures
Endoscopic sphincterotomy by ERCP,Gastroenterology / Endoscopic Procedures
Enteral stenting excluding cost of the stent,Gastroenterology / Endoscopic Procedures
Entropion surgery- both lids,Ophthalmology Procedure
Entropion surgery- one lid,Ophthalmology Procedure
Enucleation of the Eye.,Cancer Surgery
Enucleation per eye(for non-malignant conditions),Ophthalmology Procedure
Enucleation with orbital implants and artificial (Cost of implants included) per eye,Ophthalmology Procedure
Epicanthus correction - Both Eyes,Ophthalmology Procedure
Epididymectomy,Nephrology And Urology Procedure
Epigastric Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure
Epilepsy surgery other than at Code No. NS049 and NS050,Neuro-Surgery Procedure
Epiretinal Membrane (ERM) Peeling (per eye),Ophthalmology Procedure
Epiretinal Membrane (ERM) Removal (per eye),Ophthalmology Procedure
Erythrocyte Sedimentation Rate (ESR),Laboratory Investigation
Esophagoscopic Stent,Cancer Surgery
Esophagoscopy-Diagnostic,Cancer Surgery
Esophagoscopy-Therapeutic,Cancer Surgery
Esophagus R.A,Cancer Surgery
Estlander Operation (Estlander flap in plastic surgery of lips),ENT Procedure
Estradiol (E2),Laboratory Investigation
Ethmoidectomy,Cancer Surgery
Evacuation /Excision of Brain Abscess by craniotomy,Neuro-Surgery Procedure
Evaluation under anaesthcsia,Cancer Surgery
Evisceration per eye,Ophthalmology Procedure
Evisceration with orbital implants and artificial (Cost of implants included) prosthesis per eye,Ophthalmology Procedure
Examination under anaesthesia (EUA),Obstetrics And Gynaecology Procedure
Exchange Transfusion,Critical Care
Excision Biopsy of Superficial Lumps,Biopsies
Excision Biopsy of Ulcers,Biopsies
"Excision Biopsy of lid, conjunctiva, cornea per eye",Ophthalmology Procedure
Excision Cholangio + Liver Resection,Cancer Surgery
Excision Cholangiocarcinoma,Cancer Surgery
Excision Gland/Nodule,Cancer Surgery
Excision STS neck/Mass neck.,Cancer Surgery
Excision of Axillary Lymph Node under General Anaesthesia,General Surgery
Excision of Branchial Cyst,ENT Procedure
Excision of Branchial Sinus,ENT Procedure
Excision of Carotid Body / Carotid Body Tumours,ENT Procedure
Excision of Carotid Body tumour.,Cancer Surgery
Excision of Cervical Lymph Node under Local Anaesthesia,General Surgery
Excision of Clivus tumour (skull base + Reconstruction),Cancer Surgery
Excision of Corns,Skin Procedure
Excision of Cystic Hygroma,ENT Procedure
Excision of Cystic Hygroma Extensive,ENT Procedure
Excision of Dermoid Cysts,General Surgery
Excision of Filarial Scrotum,Nephrology And Urology Procedure
Excision of Inguinal Lymph Node under Local Anaesthesia,General Surgery
Excision of Keloid,General Surgery
Excision of Lingual Thyroid,ENT Procedure
Excision of Lobe (Frontal Temporal Cerebellum etc.),Neuro-Surgery Procedure
Excision of Meckel-s Diverticulum,Paediatric Surgery Procedure
Excision of Moles,Skin Procedure
Excision of Molluscum Contagiosum,Skin Procedure
Excision of Pharyngeal Diverticulum,ENT Procedure
Excision of Pilonidal Sinus (open),Abdomen/GI Surgery Procedure
Excision of Pilonidal Sinus with closure,Abdomen/GI Surgery Procedure
Excision of Pinna for non-cancerous Growth/Injuries - Skin Only,ENT Procedure
Excision of Pinna for non-cancerous/ Injuries - Skin and Cartilage,ENT Procedure
Excision of Salivary gland,Dental Procedure
Excision of Sebaceous Cysts,General Surgery
Excision of Small Intestine Fistula,Abdomen/GI Surgery Procedure
Excision of Superficial Lipoma,General Surgery
Excision of Superficial Neurofibroma,General Surgery
Excision of Thyroglossal Cyst/Duct/Fistula,ENT Procedure
Excision of Undescended Testis Tumor,Cancer Surgery
Excision of Vaginal Cyst/Bartholin Cyst/Gartner Cyst,Obstetrics And Gynaecology Procedure
Excision of Vaginal/Uterus Septum,Obstetrics And Gynaecology Procedure
Excision of Venereal Warts,Skin Procedure
Excision of Warts,Skin Procedure
Excision of hyperplastic tissue - per arch,Dental Procedure
Excision of lumps under anaesthesia,General Procedure
Excision of mammary fistula,General Surgery
Excision of mandible-segmental,ENT Procedure
Excision of parapharyngeal mass.,Cancer Surgery
Excision of pinna,Cancer Surgery
Excision of skin Malignancy Head &s Neck.,Cancer Surgery
Excision of the Maxilla,ENT Procedure
Excision of transnasal angiofibroma,Cancer Surgery
Excision of urethral carbuncle,Obstetrics And Gynaecology Procedure
Excision or other Operations for Scaphoid Fractures,Orthopaedics Procedure
Excision/Pericardiac Window Open,Cancer Surgery
Exenteration Anterior/Posterior,Cancer Surgery
Exenteration Total,Cancer Surgery
Exenteration per eye,Ophthalmology Procedure
Exenteration with skin grafting per eye,Ophthalmology Procedure
Exercises /Post Natal Exercises/Prenatal Exercises/Therapeutic Exercises/Orthopaedic Rehabilitation (Joint Replacement/Post Surgery)/Hand Rehab (per session),Physiotherapy
Expansion plate,Dental Procedure
Exploration + Ileo/Colostomy,Cancer Surgery
Exploration Emergency,Cancer Surgery
Exploration of abdominal Haematoma (after laparotomy/ LSCS),Obstetrics And Gynaecology Procedure
Exploration of perineal Haematoma & Repair,Obstetrics And Gynaecology Procedure
Exploratory Laparotomy,Cancer Surgery
Exploratory Laparotomy (Open),Abdomen/GI Surgery Procedure
Exploratory Laporatomy/Thoracotomy (Inoperable),Cancer Surgery
Extended Immune subset for Post Allogenic Stem Cell Transplant Monitoring,Oncology Investigations
"Extended Lipid Profile. (Total cholesterol, LDL,HDL, Triglycerides Apo A1, Apo B,Lp (a) )",Laboratory Investigation
Extensive Burn -above 50% Frist Dressing,Burns And Plastic Surgery Procedure
Extensive Burn -above 50% Subsequent dressing,Burns And Plastic Surgery Procedure
External Fixation,Cancer Surgery
External Loop/event recording - subsequent Days 1000/day (Maximum up to 6 days),Cardiology Investigation
External Loop/event recording -first day Rs.1500,Cardiology Investigation
External Ventricular Drainage (EVD),Neuro-Surgery Procedure
Extracapsular cataract extraction (ECCE) with IOL excluding the cost of IOL per eye,Ophthalmology Procedure
Extracorporeal Irradiation,Cancer Surgery
Extracorporeal Shock Wave Lithotripsy (ESWL),Nephrology And Urology Procedure
Extracranial-Intracranial Bypass Procedures (EC-IC) bypass procedures,Neuro-Surgery Procedure
Extractable Nuclear Antigens (ENA) - Quantitative,Laboratory Investigation
Extraction - Normal Tooth,Dental Procedure
Extraction - Orthodontic Extraction,Dental Procedure
Extraction Impacted - Bony,Dental Procedure
Extraction Impacted - Soft tissue/ 3rd Molar/wisdom tooth extraction,Dental Procedure
"Eye Consultation(857,873,877 cannot be booked )",Consultation
Eye Lid Tumor Excision,Cancer Surgery
Eye laser pulse therapy /Lipiflow/IPL [Intense pulse light] per eye,Ophthalmology Procedure
Eye lid (upper/lower) Excision with reconstruction,Cancer Surgery
Eyelid reconstruction with flap both eyes,Ophthalmology Procedure
Eyelid reconstruction with flap one eye,Ophthalmology Procedure
F-DOPA PET-CT scan,Nuclear Medicine Investigation
FDG Whole body PET CT Scan,Nuclear Medicine Investigation
FISH FOR HER2 Neu,Oncology Investigations
FISH PANEL FOR MYELOMA,Oncology Investigations
FISH Test for C19MC amplification,Oncology Investigations
FISH for 1p33/TAL1 deletion,Oncology Investigations
FISH for t(10;11)(p12;q14)/MLLT10(AF10)/PICALM,Oncology Investigations
FISH for t(11;19)(q23;p13.1)/KMT2A/ELL,Oncology Investigations
FISH for t(5;11)(q35;p15.5) NUP98/NSD1,Oncology Investigations
FISH for t(6;14)(p21;q32) IGH/CCND3,Oncology Investigations
FISH on Bone marrow Smear( 1 marker),Oncology Investigations
FISH on FFPE - Block /Slide (2 markers),Oncology Investigations
FISH on bone marrow smear( 2 markers),Oncology Investigations
FISH test for CDKN2A,Oncology Investigations
FISH test for CEN 10 loss - on Tissue,Oncology Investigations
FISH test for ETV6 break-apart analysis - On Tissue,Oncology Investigations
FISH test for MAML2 break-apart analysis - On Tissue,Oncology Investigations
Facial Nerve Decompression,ENT Procedure
Facial Space Abscess,Dental Procedure
Facial bones - Complicated Reduction with fixation,Dental Procedure
Facial nerve reconstruction,Neuro-Surgery Procedure
Factor Assays-Factor IX,Laboratory Investigation
Factor Assays-Factor VIII,Laboratory Investigation
Factor V Leiden Mutation Detection,Oncology Investigations
Faecal / Faecal fat test/ faecal chymotrypsin/ faecal elastase,Laboratory Investigation
Faecal calprotectin,Laboratory Investigation
FeNO Breathing Test,Pulmonology Investigation
Feeding appliance for Cleft Palate,Dental Procedure
Femoral Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure
Fetal Echo,Radiological Investigation
Fibreoptic examination of Larynx (FOL) under LA,ENT Investigation
Fibrinogen,Laboratory Investigation
Fibro optic Nasal Endoscopy,ENT Investigation
Fibroscan Liver,Radiological Investigation
Fibula Lower End Reconstruction,Cancer Surgery
Fibulectomy,Cancer Surgery
Figure of 8 bandage,Orthopaedics Procedure
Fingers (post slab),Orthopaedics Procedure
Fingers full plaster,Orthopaedics Procedure
Fissure in Ano - Fissurectomy,Abdomen/GI Surgery Procedure
Fissure in Ano with Internal sphincterotomy with fissurectomy.,Abdomen/GI Surgery Procedure
Fistula in Ano - High Fistulectomy,Abdomen/GI Surgery Procedure
Fistula in Ano - Low Fistulectomy,Abdomen/GI Surgery Procedure
Fistula stenosis dilation,Nephrology And Urology Procedure
Fistulogram for Arteriovenous Fistula,Nephrology And Urology Investigation
Fixed orthodontic per arch,Dental Procedure
Flap Reconstructive Surgery - Head and Neck,Burns and Plastic Surgery
Flap Surgery and Bone Graft per quadrant,Dental Procedure
Flap Surgery- Per Quadrant,Dental Procedure
Flap Surgery- Per Tooth,Dental Procedure
Floor of the Mouth -Composition resection.,Cancer Surgery
Floor of the Mouth Wide excision.,Cancer Surgery
Fluorescein angiography for fundus or iris- Both Eyes,Ophthalmology Investigation
Fluorescent PCR + fragment length analysis per Amplicon,Oncology Investigations
Fluoride Application for Children,Dental Procedure
Foetal Haemoglobin (HbF),Laboratory Investigation
Folic Acid Assay.,Laboratory Investigation
Follicle stimulating hormone (FSH),Laboratory Investigation
Fontan Procedure,Cardiovascular And Cardiac Surgery Procedure
Foramen magnum decompression for Chiari Malformation,Neuro-Surgery Procedure
Formation of an Ileal Conduit,Nephrology And Urology Procedure
Fracture Reduction of Nasal Bone,ENT Procedure
Fracture orbital repair per eye,Ophthalmology Procedure
Free Grafts - Large Area 10%,Burns And Plastic Surgery Procedure
Free Grafts - Thiersch- Small Area 5%,Burns And Plastic Surgery Procedure
Free Grafts - Very Large Area 20% and above.,Burns And Plastic Surgery Procedure
Free Grafts - Wolfe Grafts,Burns And Plastic Surgery Procedure
Free Thyroxine (FT4),Laboratory Investigation
Free Triiodothyronine (FT3),Laboratory Investigation
Frenectomy,Dental Procedure
Fructosamine,Laboratory Investigation
Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,ENT Procedure
Functional Endoscopic Sinus Surgery (FESS) for Ethmoidal polyp,ENT Procedure
Functional orthodontic appliance,Dental Procedure
Fundus Photo Test /disc photo for glaucoma- Both Eyes,Ophthalmology Investigation
Fungal culture,Laboratory Investigation
Fusion Surgery Cervical/ Lumbar Spine up to 2 Level,Orthopaedics Procedure
Gait Assessment (per session),Physiotherapy
Gait Training (per session),Physiotherapy
Galactomannan,Laboratory Investigation
Gallium-68 Peptide PET / CT imaging for Neuroendocrine Tumour,Nuclear Medicine Investigation
Gamma-Glutamyl Transpeptidase (GGTP),Laboratory Investigation
Gaping Abdominal Wound Secondary Suturing,Obstetrics And Gynaecology Procedure
Gaping Perineal Wound Secondary Suturing,Obstetrics And Gynaecology Procedure
Gastrectomy (Bilroth-1)/(Bilroth-2) Distal Radical,Cancer Surgery
Gastrectomy (Radical) + Extended Lymphad,Cancer Surgery
Gastrectomy Partial,Cancer Surgery
Gastrectomy Proximal Radical,Cancer Surgery
Gastrectomy Total,Cancer Surgery
Gastric By-Pass,Cancer Surgery
Gastric Emptying,Gastro and Hepatobiliary/Nuclear Medicine Investigation
Gastric Wedge Resection,Cancer Surgery
Gastro Oesophageal Reflux Study (GER Study),Gastro and Hepatobiliary Investigation
Gastro-Jejunostomy,Cancer Surgery
Gastrointestinal (GIT) Foreign body removal,Gastroenterology / Endoscopic Procedures
Gastrointestinal Bleed (GloB.) Study with Technetium 99m labeled RBCs.,Gastro and Hepatobiliary/Nuclear Medicine Investigation
Gastroschisis Repair,Paediatric Surgery Procedure
Gastroscopy,Cancer Surgery
Gastroscopy/Upper GI Endoscopy with or without Biopsy,Gastroenterology / Endoscopic Procedures
Gastrostomy,Abdomen/GI Surgery Procedure
Gastrostomy,Cancer Surgery
Gastrotomy,Cancer Surgery
GeneCORE Somatic 161 Gene Panel (NGS),Oncology Investigations
GeneXpert Test (Tuberculosis),Laboratory Investigation
General:Fistulography / Sinography/Sialography/Dacrocystography/ T-Tube cholangiogram/Nephrostogram,Radiological Investigation
Genioplasty,ENT Procedure
Gingivectomy - Per Quadrant,Dental Procedure
Gingivoplasty - Per Quadrant,Dental Procedure
Glass ionomer Cement Restoration,Dental Procedure
Glaucoma surgery with Glaucoma valves (Cost of Valve extra) per eye,Ophthalmology Procedure
Globe exploration per eye,Ophthalmology Procedure
Glosectomy-Anterior 2/3rd,Cancer Surgery
"Glossectomy Total,",Cancer Surgery
Glucose (Fasting & PP),Laboratory Investigation
Glucose Tolerance Test (GTT),Laboratory Investigation
Glucose-6-Phosphate Dehydrogenase (G6PD),Laboratory Investigation
Glue injection of varices,Gastroenterology / Endoscopic Procedures
Glutamic Acid Decarboxylase Autoantibodies test (GAD antibodies),Laboratory Investigation
Glycosylated Haemoglobin (HbA1c),Laboratory Investigation
