procedure,specialty
Ant. Mediastinotomy,Cancer Surgery
Anterio Lateral Decompression of spine,Neuro-Surgery Procedure
Anterior Cervical Discectomy,Neuro-Surgery Procedure
Anterior Cervical Spine Surgery with fusion,Neuro-Surgery Procedure
Anterior Cruciate Ligament (ACL) Reconstruction,Orthopaedics Procedure
Anterior Resection of Rectum,Abdomen/GI Surgery Procedure
Anterior craniofacial excision,Cancer Surgery
Anterior retinal cryopexy per eye,Ophthalmology Procedure
Anterior vitrectomy per eye,Ophthalmology Procedure
Anterolateral Decompression and Spine Fusion,Orthopaedics Procedure
Anterolateral decompression for tuberculosis/ Costo-Transversectomy,Orthopaedics Procedure
Anti -Smooth Muscle Antibody Test (ASMA),Laboratory Investigation
Anti GBM (Glomerular Basement Membrane) Antibody,Laboratory Investigation
Anti HAV IgM,Laboratory Investigation
Anti HEV IgM,Laboratory Investigation
Anti Intrinsic Factor Antibodies,Laboratory Investigation
Anti LKM (Liver Kidney Microsome) Ab,Laboratory Investigation
Anti Parietal Cell Antibodies,Laboratory Investigation
Anti Sperm Antibodies.,Laboratory Investigation
Anti measles antibody titre (with serum antibody titre),Laboratory Investigation
Anti muscle specific receptor tyrosine kinase (Anti MuSK) antibody titre,Laboratory Investigation
Anti-Cyclic Citrullinated Peptide (Anti CCP),Laboratory Investigation
Anti-Nuclear Antibodies - IFA,Laboratory Investigation
Anti-double stranded DNA (anti-dsDNA),Laboratory Investigation
Anti-tissue Transglutaminase antibody (Anti TTG Antibody) / Tissue Transglutaminase IgA (tTg-IgA),Laboratory Investigation
"Antibody titre (Herpes simplex, cytomegalovirus, flavivirus, zoster varicella virus)",Laboratory Investigation
Antinuclear Antibody (ANA),Laboratory Investigation
Antrum Puncture,ENT Procedure
Aorta Femoral Bypass,Cardiovascular And Cardiac Surgery Procedure
Aortic Arch Replacement,Cardiovascular And Cardiac Surgery Procedure
Aortic Dissection,Cardiovascular And Cardiac Surgery Procedure
Aortic Valve Balloon Dilatation (AVBD) / Pulmonary Valve Balloon Dilatation (PVBD),Cardiology Procedure
Aortic stent grafting for aortic aneurysm,Cardiovascular And Cardiac Surgery Procedure
Apexification with any bio-compatible material,Dental Procedure
Apicectomy-Multiple tooth,Dental Procedure
Apicectomy-Single tooth,Dental Procedure
Apolipoprotein A1 (ApoA1),Laboratory Investigation
Apolipoprotein B (Apo B),Laboratory Investigation
Appendicectomy,Abdomen/GI Surgery Procedure
Appendicular Abscess - Drainage,Abdomen/GI Surgery Procedure
Application for CTEV per sitting,Orthopaedics Procedure
Application of Desensitizing Medicament,Dental Procedure
Application of Functional Cast Brace,Orthopaedics Procedure
Application of POP Casts for Upper & Lower Limbs,Orthopaedics Procedure
Application of POP Spices & Jackets,Orthopaedics Procedure
Application of Skeletal Tractions,Orthopaedics Procedure
Application of Skin Traction,Orthopaedics Procedure
Applied Behaviour Analysis based behaviour therapy (ABA based Behaviour therapy) per session of at least 40 minutes,Behavioural therapy
Arch bar fixation,Dental Procedure
Arcuate keratotomy for astigmatism /Limbal Relaxing Incision - Both Eyes,Ophthalmology Procedure
Argon plasma coagulation,Gastroenterology / Endoscopic Procedures
Argon/diode laser for retinal detachment per eye,Ophthalmology Procedure
Arterial Colour Doppler Bilateral,Radiological Investigation
Arterio Venous Prosthetic Graft,Nephrology And Urology Procedure
Arteriovenous Fistula for Haemodialysis,Nephrology And Urology Procedure
Arteriovenous Shunt for Haemodialysis,Nephrology And Urology Procedure
Arthrodesis of - Major Joints,Orthopaedics Procedure
Arthrodesis of - Minor Joints,Orthopaedics Procedure
Arthrography,Orthopaedics Investigation
Arthrolysis of knee,Orthopaedics Procedure
Arthroscopy - Diagnostic,Orthopaedics Procedure
Arthroscopy-therapeutic: with implant,Orthopaedics Procedure
Arthroscopy-therapeutic: without implant,Orthopaedics Procedure
Ascending Aorta Replacement,Cardiovascular And Cardiac Surgery Procedure
Aspergillus Fumigatus Specific IgE,Laboratory Investigation
Aspiration & Intra Articular Injections,Orthopaedics Procedure
Aspiration Pleural Effusion - Diagnostic,General Procedure
Aspiration Pleural Effusion - Therapeutic,General Procedure
Atresia of Oesophagus and Tracheo Oesophageal Fistula,Abdomen/GI Surgery Procedure
Atrial Septal Defect (ASD) closure excluding the cost of the Device,Cardiovascular And Cardiac Surgery Procedure
Atrioventricular(AV) Canal Repair,Cardiovascular And Cardiac Surgery Procedure
Augmentation Cystoplasty,Nephrology And Urology Procedure
Autograft Flap Reconstruction (Breast),Cancer Surgery
Autoimmune Encephalitis Panel,Laboratory Investigation
Autoimmune Hepatitis Profile,Laboratory Investigation
Autoimmune Liver Diseases Profile,Laboratory Investigation
Automatic implantable cardioverter defibrillator (AICD) Dual Chamber excluding the cost of Device,Cardiology Procedure
Automatic implantable cardioverter defibrillator (AICD) Single Chamber - excluding the cost of Device,Cardiology Procedure
Axillary Dissection Alone,Cancer Surgery
B-cell Acute Lymphoblastic Leukemia (B-ALL) Panel,Oncology Investigations
B.P. Fistula Repair,Cancer Surgery
BCL3 rearrangement 19q13.3 / BCL6 rearrangement: 3q27,Oncology Investigations
BCOR alteration,Oncology Investigations
BCR-ABL by PCR-Quantitative,Oncology Investigations
"BCR/ABL (Ph) duplication, trisomy 8, trisomy 21, TP53 deletion",Oncology Investigations
BCR/ABL Ph: t(9;22),Oncology Investigations
BD Glenn/Left Atrium Myxoma,Cardiovascular And Cardiac Surgery Procedure
BERA (Brain stem evoked response audiometry),ENT Investigation
BRAF,Oncology Investigations
BRCA1 & BRCA2,Oncology Investigations
Baclofen pump implantation for spasticity/Intra-thecal Pump Implantation,Neuro-Surgery Procedure
Baclofen pump implantation lesioning for movement disorder including Parkinsonism/Spinal Cord Stimulator Implantation,Neuro-Surgery Procedure
Bacterial culture and sensitivity - Aerobic,Laboratory Investigation
Bacterial culture and sensitivity - Anaerobic,Laboratory Investigation
Ball bandage,Orthopaedics Procedure
Balloon Coronary Angioplasty / Percutaneous transluminal coronary angioplasty (PTCA) / Percutaneous coronary intervention (PCI) without Vascular closure device (VCD) excluding the cost of Stent.Cost of Drug Eluting Balloon allowed in lieu of Stent,Cardiology Procedure
Balloon Coronary Angioplasty / Percutaneous transluminal coronary angioplasty (PTCA) /Percutaneous coronary intervention (PCI) with Vascular closure device (VCD) excluding the cost of Stent. Cost of Drug Eluting Balloon allowed in lieu of Stent,Cardiology Procedure
Balloon Kyphoplasty,Neuro-Surgery Procedure
Balloon Mitral Valvotomy / Percutaneous Transvenous Mitral Commissurotomy (PTMC),Cardiology Procedure
Balloon Septostomy,Cardiology Procedure
Balloon Tamponade for Post Partum Haemorrhage/Conservative management of PPH(Atonic/traumatic PPH),Obstetrics And Gynaecology Procedure
Balloon dilatation of achalasia cardia,Gastroenterology / Endoscopic Procedures
Balloon dilatation of papilla,Gastroenterology / Endoscopic Procedures
Balloon-Occluded Retrograde Intravenous Obliteration (BRTO),Gastroenterology/Interventional Radiology Procedures
Band ligation of oesophageal varices,Gastroenterology / Endoscopic Procedures
Bandage & Strappings for Fractures,Orthopaedics Procedure
Bandage contact lenses for corneal perforation/PED per eye,Ophthalmology Procedure
Bankart Repair Shoulder,Orthopaedics Procedure
Barium Enema (Single contrast/double contrast),Radiological Investigation
Barium Meal follow through,Radiological Investigation
Barium Swallow,Radiological Investigation
Barium Upper GI study,Radiological Investigation
Barium Upper GI study (Double contrast),Radiological Investigation
Battery Placement for Deep Brain Stimulation (DBS),Neuro-Surgery Procedure
Below Knee full plaster,Orthopaedics Procedure
Below Knee post-slab,Orthopaedics Procedure
Bence Jones Protein,Laboratory Investigation
Benign Tumour Excisions of Head and Neck,Head and Neck Surgery
Bentall Repair with Biologic Valve,Cardiovascular And Cardiac Surgery Procedure
Bentall Repair with Prosthetic Valve,Cardiovascular And Cardiac Surgery Procedure
Beta 2 microglobulin (B2M) /_2 microglobulin,Laboratory Investigation
Beta-D-Glucan Assay,Laboratory Investigation
Biceps Tenodesis,Orthopaedics Procedure
Bilateral (single Lumen) Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure
Bilateral Mastectomy,Cancer Surgery
Bilateral Orchiectomy,Cancer Surgery
Biliary Manometry,Gastroenterology / Endoscopic Investigation
Biliary stenting (plastic and metallic) by ERCP,Gastroenterology / Endoscopic Procedures
Biofeedback per session,Behavioural therapy
Biophysical score / Biophysical profile test (BPP test),Radiological Investigation
Biopsy Needle,Cancer Surgery
Biopsy Open,Cancer Surgery
Biopsy of Bladder (Cystoscopic) including (Cold Cup Biopsy),Nephrology And Urology Procedure
"Biopsy of Oral tissue - Hard (bone, tooth)",Dental Biopsy
Biopsy of Oral tissue- Soft,Dental Biopsy
Bite Excision/Composite.,Cancer Surgery
Bladder Tumor Trans Urethral Resection,Cancer Surgery
Blalock-Taussig Shunt (BT Shunt) / Coarctation,Cardiovascular And Cardiac Surgery Procedure
Bleb compression sutures per eye,Ophthalmology Procedure
Bleb needling with MMC/5-FU per eye,Ophthalmology Procedure
Bleb repair with conjunctival autograft per eye,Ophthalmology Procedure
"Bleeding Disorder Panel- PT, APTT, Thrombin Time Fibrinogen, D-Dimer/ Fibrinogen Degradation Products (FDP)",Laboratory Investigation
Bleeding Time,Laboratory Investigation
Blood Component Charges - Cryoprecipitate,Blood Component Charges
Blood Component Charges - Fresh Frozen Plasma,Blood Component Charges
Blood Component Charges - Packed Red Cell per Unit,Blood Component Charges
Blood Component Charges - Whole Blood per Unit,Blood Component Charges
Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP,Laboratory Investigation
Blood Group & Rh Type,Laboratory Investigation
Blood Urea Nitrogen (BUN) / Urea,Laboratory Investigation
Blood gas analysis / Arterial Blood Gas (ABG),Laboratory Investigation
Blood gas analysis / Arterial Blood Gas (ABG) with electrolytes,Laboratory Investigation
"Body Fluid (CSF/Ascitic Fluid etc.) Sugar, Protein etc.",Laboratory Investigation
Body Fluid for Malignant cells,Laboratory Investigation
Bone Grafting,Orthopaedics Procedure
Bone Grafting,Cancer Surgery
Bone Marrow Aspiration and Biopsy,Biopsies
Bone Marrow Smear Examination,Laboratory Investigation
Bone Marrow Smear Examination and Cytochemistry,Laboratory Investigation
Bone Marrow Smear Examination with Iron Stain,Laboratory Investigation
Bone replacement graft for ridge preservation - per site,Dental Procedure
Botulinum injection for blepharospasm or squint /epiphora/entropion/lid retraction (excluding cost of drug) per eye,Ophthalmology Procedure
Brachial Plexus Exploration and neurotization,Neuro-Surgery Procedure
Brachial plexus study,Neurology Investigation
Brain / Heart FDG PET CT Scan,Nuclear Medicine Investigation
